2026/09/25 09:29:50.931, 731 MiB, 68 %, 78, 2460 MHz, 65.35 W, 0x0000000000000000
2026/09/25 09:29:52.934, 731 MiB, 67 %, 78, 2460 MHz, 64.92 W, 0x0000000000000000
2026/09/25 09:29:54.938, 731 MiB, 68 %, 78, 2460 MHz, 64.97 W, 0x0000000000000000
2026/09/25 09:29:56.941, 731 MiB, 68 %, 78, 2460 MHz, 65.49 W, 0x0000000000000000
2026/09/25 09:29:58.947, 731 MiB, 63 %, 78, 2460 MHz, 61.96 W, 0x0000000000000000
2026/09/25 09:30:00.961, 731 MiB, 64 %, 78, 2460 MHz, 61.44 W, 0x0000000000000000
2026/09/25 09:30:02.977, 731 MiB, 66 %, 77, 2460 MHz, 61.63 W, 0x0000000000000000
2026/09/25 09:30:04.985, 731 MiB, 68 %, 78, 2460 MHz, 64.92 W, 0x0000000000000000
2026/09/25 09:30:06.992, 731 MiB, 68 %, 79, 2460 MHz, 65.59 W, 0x0000000000000000
2026/09/25 09:30:08.995, 731 MiB, 69 %, 78, 2460 MHz, 65.86 W, 0x0000000000000004
2026/09/25 09:30:11.005, 731 MiB, 68 %, 78, 2460 MHz, 65.74 W, 0x0000000000000004
2026/09/25 09:30:13.012, 731 MiB, 71 %, 78, 2460 MHz, 65.59 W, 0x0000000000000000
2026/09/25 09:30:15.019, 731 MiB, 69 %, 79, 2460 MHz, 65.49 W, 0x0000000000000000
2026/09/25 09:30:17.020, 731 MiB, 69 %, 79, 2460 MHz, 65.63 W, 0x0000000000000004
2026/09/25 09:30:19.022, 731 MiB, 69 %, 78, 2460 MHz, 65.52 W, 0x0000000000000004
2026/09/25 09:30:21.031, 731 MiB, 70 %, 79, 2460 MHz, 65.69 W, 0x0000000000000000
2026/09/25 09:30:23.034, 731 MiB, 69 %, 79, 2445 MHz, 66.04 W, 0x0000000000000004
2026/09/25 09:30:25.049, 731 MiB, 68 %, 79, 2460 MHz, 64.91 W, 0x0000000000000000
2026/09/25 09:30:27.049, 731 MiB, 68 %, 78, 2460 MHz, 65.58 W, 0x0000000000000004
2026/09/25 09:30:29.056, 731 MiB, 69 %, 78, 2460 MHz, 65.53 W, 0x0000000000000004
2026/09/25 09:30:31.066, 731 MiB, 66 %, 79, 2460 MHz, 65.42 W, 0x0000000000000004
2026/09/25 09:30:33.081, 731 MiB, 68 %, 78, 2460 MHz, 61.78 W, 0x0000000000000000
2026/09/25 09:30:35.096, 731 MiB, 69 %, 78, 2460 MHz, 65.10 W, 0x0000000000000000
2026/09/25 09:30:37.104, 731 MiB, 69 %, 79, 2430 MHz, 64.97 W, 0x0000000000000004
2026/09/25 09:30:39.104, 731 MiB, 67 %, 78, 2460 MHz, 64.29 W, 0x0000000000000004
2026/09/25 09:30:41.119, 731 MiB, 68 %, 79, 2460 MHz, 65.39 W, 0x0000000000000000
2026/09/25 09:30:43.124, 731 MiB, 70 %, 78, 2460 MHz, 65.70 W, 0x0000000000000000
2026/09/25 09:30:45.127, 731 MiB, 69 %, 79, 2460 MHz, 65.14 W, 0x0000000000000004
2026/09/25 09:30:47.136, 731 MiB, 68 %, 78, 2460 MHz, 64.18 W, 0x0000000000000000
2026/09/25 09:30:49.136, 731 MiB, 69 %, 79, 2460 MHz, 65.10 W, 0x0000000000000004
2026/09/25 09:30:51.148, 731 MiB, 66 %, 79, 2460 MHz, 64.50 W, 0x0000000000000000
2026/09/25 09:30:53.158, 731 MiB, 70 %, 78, 2460 MHz, 64.92 W, 0x0000000000000004
2026/09/25 09:30:55.163, 731 MiB, 68 %, 79, 2460 MHz, 64.87 W, 0x0000000000000000
