2026/09/24 11:05:19.170, 666 MiB, 58 %, 74, 2460 MHz, 54.25 W, 0x0000000000000000
2026/09/24 11:05:21.173, 666 MiB, 57 %, 74, 2460 MHz, 54.27 W, 0x0000000000000000
2026/09/24 11:05:23.176, 666 MiB, 56 %, 74, 2460 MHz, 53.99 W, 0x0000000000000000
2026/09/24 11:05:25.179, 666 MiB, 57 %, 74, 2460 MHz, 54.24 W, 0x0000000000000000
2026/09/24 11:05:27.190, 666 MiB, 57 %, 74, 2460 MHz, 54.04 W, 0x0000000000000000
2026/09/24 11:05:29.193, 666 MiB, 57 %, 74, 2460 MHz, 54.18 W, 0x0000000000000000
2026/09/24 11:05:31.202, 666 MiB, 56 %, 74, 2460 MHz, 54.07 W, 0x0000000000000000
2026/09/24 11:05:33.205, 666 MiB, 56 %, 74, 2460 MHz, 53.89 W, 0x0000000000000000
2026/09/24 11:05:35.218, 666 MiB, 37 %, 71, 2460 MHz, 42.29 W, 0x0000000000000000
2026/09/24 11:05:37.233, 666 MiB, 39 %, 70, 2385 MHz, 41.22 W, 0x0000000000000001
2026/09/24 11:05:39.238, 666 MiB, 39 %, 70, 2400 MHz, 39.89 W, 0x0000000000000001
2026/09/24 11:05:41.241, 666 MiB, 38 %, 69, 2205 MHz, 33.11 W, 0x0000000000000001
2026/09/24 11:05:43.245, 666 MiB, 37 %, 67, 2100 MHz, 30.21 W, 0x0000000000000001
2026/09/24 11:05:45.250, 666 MiB, 37 %, 67, 2040 MHz, 28.84 W, 0x0000000000000001
2026/09/24 11:05:47.267, 666 MiB, 40 %, 65, 1770 MHz, 23.40 W, 0x0000000000000001
2026/09/24 11:05:49.274, 666 MiB, 37 %, 64, 1650 MHz, 21.50 W, 0x0000000000000001
2026/09/24 11:05:51.288, 666 MiB, 38 %, 64, 1530 MHz, 19.77 W, 0x0000000000000001
2026/09/24 11:05:53.290, 666 MiB, 31 %, 63, 1500 MHz, 17.62 W, 0x0000000000000001
2026/09/24 11:05:55.293, 666 MiB, 36 %, 62, 1470 MHz, 16.97 W, 0x0000000000000001
2026/09/24 11:05:57.297, 666 MiB, 40 %, 61, 1260 MHz, 16.20 W, 0x0000000000000001
2026/09/24 11:05:59.312, 666 MiB, 43 %, 60, 1125 MHz, 13.67 W, 0x0000000000000001
2026/09/24 11:06:01.316, 666 MiB, 40 %, 60, 1185 MHz, 12.99 W, 0x0000000000000001
2026/09/24 11:06:03.318, 666 MiB, 37 %, 59, 975 MHz, 12.36 W, 0x0000000000000001
2026/09/24 11:06:05.323, 666 MiB, 40 %, 58, 915 MHz, 11.61 W, 0x0000000000000001
2026/09/24 11:06:07.326, 666 MiB, 45 %, 58, 855 MHz, 11.76 W, 0x0000000000000001
2026/09/24 11:06:09.342, 666 MiB, 46 %, 58, 720 MHz, 11.65 W, 0x0000000000000001
2026/09/24 11:06:11.346, 666 MiB, 40 %, 57, 765 MHz, 11.44 W, 0x0000000000000001
2026/09/24 11:06:13.348, 666 MiB, 42 %, 57, 810 MHz, 11.62 W, 0x0000000000000001
2026/09/24 11:06:15.355, 666 MiB, 44 %, 57, 870 MHz, 11.71 W, 0x0000000000000001
2026/09/24 11:06:17.369, 666 MiB, 46 %, 56, 840 MHz, 11.64 W, 0x0000000000000001
2026/09/24 11:06:19.376, 666 MiB, 51 %, 56, 690 MHz, 11.35 W, 0x0000000000000001
2026/09/24 11:06:21.377, 666 MiB, 29 %, 55, 480 MHz, 9.85 W, 0x0000000000000001
2026/09/24 11:06:23.380, 666 MiB, 49 %, 55, 315 MHz, 7.11 W, 0x0000000000000001
2026/09/24 11:06:25.396, 666 MiB, 52 %, 55, 330 MHz, 7.11 W, 0x0000000000000001
2026/09/24 11:06:27.412, 666 MiB, 48 %, 54, 330 MHz, 7.07 W, 0x0000000000000001
2026/09/24 11:06:29.426, 350 MiB, 0 %, 54, 300 MHz, 6.26 W, 0x0000000000000001
2026/09/24 11:06:31.431, 538 MiB, 0 %, 57, 2130 MHz, 16.42 W, 0x0000000000000000
2026/09/24 11:06:33.443, 666 MiB, 66 %, 65, 2460 MHz, 51.07 W, 0x0000000000000004
2026/09/24 11:06:35.445, 666 MiB, 67 %, 67, 2460 MHz, 57.58 W, 0x0000000000000004
2026/09/24 11:06:37.452, 666 MiB, 68 %, 68, 2460 MHz, 63.33 W, 0x0000000000000000
2026/09/24 11:06:39.455, 666 MiB, 67 %, 69, 2460 MHz, 66.27 W, 0x0000000000000004
2026/09/24 11:06:41.463, 666 MiB, 68 %, 69, 2460 MHz, 66.43 W, 0x0000000000000004
2026/09/24 11:06:43.472, 666 MiB, 66 %, 71, 2445 MHz, 66.01 W, 0x0000000000000004
2026/09/24 11:06:45.483, 666 MiB, 68 %, 71, 2460 MHz, 66.75 W, 0x0000000000000000
2026/09/24 11:06:47.497, 666 MiB, 68 %, 72, 2460 MHz, 66.83 W, 0x0000000000000000
