2026/09/25 10:25:02.524, 757 MiB, 68 %, 75, 2460 MHz, 62.61 W, 0x0000000000000000
2026/09/25 10:25:04.529, 757 MiB, 64 %, 74, 2460 MHz, 62.62 W, 0x0000000000000000
2026/09/25 10:25:06.536, 757 MiB, 65 %, 75, 2460 MHz, 63.06 W, 0x0000000000000000
2026/09/25 10:25:08.538, 757 MiB, 49 %, 75, 2460 MHz, 61.85 W, 0x0000000000000000
2026/09/25 10:25:10.540, 757 MiB, 70 %, 75, 2460 MHz, 65.12 W, 0x0000000000000000
2026/09/25 10:25:12.547, 757 MiB, 69 %, 76, 2460 MHz, 64.96 W, 0x0000000000000000
2026/09/25 10:25:14.552, 757 MiB, 69 %, 76, 2460 MHz, 64.73 W, 0x0000000000000000
2026/09/25 10:25:16.566, 757 MiB, 69 %, 75, 2460 MHz, 64.80 W, 0x0000000000000000
2026/09/25 10:25:18.576, 757 MiB, 69 %, 76, 2460 MHz, 63.23 W, 0x0000000000000000
2026/09/25 10:25:20.584, 757 MiB, 70 %, 76, 2460 MHz, 65.39 W, 0x0000000000000000
2026/09/25 10:25:22.591, 757 MiB, 69 %, 76, 2430 MHz, 64.91 W, 0x0000000000000004
2026/09/25 10:25:24.593, 757 MiB, 69 %, 75, 2460 MHz, 64.73 W, 0x0000000000000000
2026/09/25 10:25:26.597, 757 MiB, 71 %, 76, 2460 MHz, 64.93 W, 0x0000000000000000
2026/09/25 10:25:28.600, 757 MiB, 70 %, 77, 2460 MHz, 65.07 W, 0x0000000000000004
2026/09/25 10:25:30.612, 757 MiB, 65 %, 76, 2460 MHz, 63.97 W, 0x0000000000000000
2026/09/25 10:25:32.614, 757 MiB, 65 %, 76, 2460 MHz, 62.13 W, 0x0000000000000000
2026/09/25 10:25:34.615, 757 MiB, 50 %, 71, 2460 MHz, 61.80 W, 0x0000000000000000
2026/09/25 10:25:36.630, 757 MiB, 68 %, 77, 2460 MHz, 64.18 W, 0x0000000000000000
2026/09/25 10:25:38.633, 757 MiB, 68 %, 77, 2460 MHz, 64.22 W, 0x0000000000000000
